,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
0,Gladiator,2000,8.5,67        ,1294870,R,https://imdb.com/title/tt0172495/,Action,Adventure,Drama,Russell Crowe,Joaquin Phoenix,Connie Nielsen,41,5,54,104,155,103000000,460583960
1,Memento,2000,8.4,80        ,1088130,R,https://imdb.com/title/tt0209144/,Mystery,Thriller,,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,54,2,57,56,113,9000000,39723096
2,Snatch,2000,8.3,55        ,760320,R,https://imdb.com/title/tt0208092/,Comedy,Crime,,Jason Statham,Brad Pitt,Benicio Del Toro,104,0,4,6,104,6000000,83557872
3,Requiem for a Dream,2000,8.3,68        ,741844,R,https://imdb.com/title/tt0180093/,Drama,,,Ellen Burstyn,Jared Leto,Jennifer Connelly,91,1,35,69,102,4500000,7390108
4,X-Men,2000,7.4,64        ,558541,PG-13,https://imdb.com/title/tt0120903/,Action,Adventure,Sci-Fi,Patrick Stewart,Hugh Jackman,Ian McKellen,0,0,13,27,104,75000000,296339528
5,Cast Away,2000,7.8,73        ,505118,PG-13,https://imdb.com/title/tt0162222/,Adventure,Drama,Romance,Tom Hanks,Helen Hunt,Paul Sanchez,0,2,15,35,143,90000000,429632142
6,American Psycho,2000,7.6,64        ,466642,R,https://imdb.com/title/tt0144084/,Comedy,Crime,Drama,Christian Bale,Justin Theroux,Josh Lucas,0,0,8,13,101,7000000,34266564
7,Unbreakable,2000,7.3,62        ,377278,PG-13,https://imdb.com/title/tt0217869/,Drama,Mystery,Sci-Fi,Bruce Willis,Samuel L. Jackson,Robin Wright,0,0,2,13,106,75000000,248118121
8,Mission: Impossible II,2000,6.1,59        ,305733,PG-13,https://imdb.com/title/tt0120755/,Action,Adventure,Thriller,Tom Cruise,Dougray Scott,Thandie Newton,0,0,12,20,123,125000000,546388108
9,Meet the Parents,2000,7.0,73        ,304149,PG-13,https://imdb.com/title/tt0212338/,Comedy,Romance,,Ben Stiller,Robert De Niro,Teri Polo,0,1,7,14,108,55000000,330444045
10,O Brother Where Art Thou?,2000,7.7,69        ,276566,PG-13,https://imdb.com/title/tt0190590/,Adventure,Comedy,Crime,George Clooney,John Turturro,Tim Blake Nelson,0,2,7,36,107,26000000,71868327
11,Gone in 60 Seconds,2000,6.5,35        ,255247,PG-13,https://imdb.com/title/tt0187078/,Action,Crime,Thriller,Nicolas Cage,Angelina Jolie,Giovanni Ribisi,0,0,9,6,118,90000000,237202299
12,The Patriot,2000,7.2,63        ,248651,R,https://imdb.com/title/tt0187393/,Action,Drama,History,Mel Gibson,Heath Ledger,Joely Richardson,0,3,9,17,165,110000000,215294342
13,Crouching Tiger Hidden Dragon,2000,7.8,94        ,248201,PG-13,https://imdb.com/title/tt0190332/,Action,Adventure,Fantasy,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,0,4,97,133,120,17000000,213525736
14,Almost Famous,2000,7.9,90        ,245192,R,https://imdb.com/title/tt0181875/,Adventure,Comedy,Drama,Billy Crudup,Patrick Fugit,Kate Hudson,0,1,52,103,122,60000000,47383689
15,Scary Movie,2000,6.2,48        ,226395,R,https://imdb.com/title/tt0175142/,Comedy,,,Anna Faris,Jon Abrahams,Marlon Wayans,0,0,7,6,88,19000000,278019771
16,Final Destination,2000,6.7,36        ,223053,R,https://imdb.com/title/tt0195714/,Horror,Thriller,,Devon Sawa,Ali Larter,Kerr Smith,0,0,3,4,98,23000000,112880294
17,Pitch Black,2000,7.1,49        ,221190,R,https://imdb.com/title/tt0134847/,Action,Horror,Sci-Fi,Radha Mitchell,Cole Hauser,Vin Diesel,0,0,2,9,109,23000000,53187659
18,The Beach,2000,6.7,43        ,217807,R,https://imdb.com/title/tt0163978/,Adventure,Drama,Romance,Leonardo DiCaprio,Daniel York,Patcharawan Patarakijjanon,0,0,0,7,119,50000000,144056873
19,Me Myself & Irene,2000,6.6,49        ,217702,R,https://imdb.com/title/tt0183505/,Comedy,,,Jim Carrey,Renée Zellweger,Anthony Anderson,0,0,2,4,116,51000000,149270999
20,Amores Perros,2000,8.1,83        ,217472,R,https://imdb.com/title/tt0245712/,Drama,Thriller,,Emilio Echevarría,Gael García Bernal,Goya Toledo,224,1,55,23,154,2000000,20908467
21,How the Grinch Stole Christmas,2000,6.2,46        ,197000,PG,https://imdb.com/title/tt0170016/,Comedy,Family,Fantasy,Jim Carrey,Taylor Momsen,Kelley,0,1,17,37,104,123000000,345141403
22,Remember the Titans,2000,7.8,48        ,192561,PG,https://imdb.com/title/tt0210945/,Biography,Drama,Sport,Denzel Washington,Will Patton,Wood Harris,0,0,8,18,113,30000000,136706683
23,Traffic,2000,7.6,86        ,192026,R,https://imdb.com/title/tt0181865/,Crime,Drama,Thriller,Michael Douglas,Benicio Del Toro,Catherine Zeta-Jones,0,4,70,86,147,48000000,207515725
24,What Women Want,2000,6.4,47        ,187475,PG-13,https://imdb.com/title/tt0207201/,Comedy,Fantasy,Romance,Mel Gibson,Helen Hunt,Marisa Tomei,0,1,5,8,127,70000000,374111707
25,Miss Congeniality,2000,6.2,43        ,181078,PG-13,https://imdb.com/title/tt0212346/,Action,Comedy,Crime,Sandra Bullock,Michael Caine,Benjamin Bratt,0,2,7,5,109,45000000,212742720
26,Chocolat,2000,7.2,64        ,174351,PG-13,https://imdb.com/title/tt0241303/,Drama,Romance,,Juliette Binoche,Judi Dench,Alfred Molina,0,5,7,31,121,25000000,152699946
27,Charlie's Angels,2000,5.5,52        ,172363,PG-13,https://imdb.com/title/tt0160127/,Action,Adventure,Comedy,Cameron Diaz,Drew Barrymore,Lucy Liu,0,0,15,30,98,93000000,264105545
28,Erin Brockovich,2000,7.3,73        ,168994,R,https://imdb.com/title/tt0195685/,Biography,Drama,,Julia Roberts,Albert Finney,David Brisbin,0,1,32,59,131,52000000,256271286
29,High Fidelity,2000,7.5,79        ,164400,R,https://imdb.com/title/tt0146882/,Comedy,Drama,Music,John Cusack,Iben Hjejle,Todd Louiso,0,1,3,21,113,30000000,47126295
30,Road Trip,2000,6.4,55        ,154395,R,https://imdb.com/title/tt0215129/,Comedy,,,Breckin Meyer,Seann William Scott,Amy Smart,0,0,4,9,93,16000000,119754278
31,The Perfect Storm,2000,6.4,59        ,152702,PG-13,https://imdb.com/title/tt0177971/,Action,Adventure,Drama,George Clooney,Mark Wahlberg,John C. Reilly,0,2,4,25,130,140000000,328718434
32,Dude Where's My Car?,2000,5.5,30        ,132337,PG-13,https://imdb.com/title/tt0242423/,Comedy,Mystery,Sci-Fi,Ashton Kutcher,Seann William Scott,Jennifer Garner,0,0,0,5,83,13000000,73180723
33,Billy Elliot,2000,7.7,74        ,122696,R,https://imdb.com/title/tt0249462/,Drama,Music,,Jamie Bell,Julie Walters,Jean Heywood,0,3,56,69,110,5000000,109280263
34,Hollow Man,2000,5.8,24        ,120664,R,https://imdb.com/title/tt0164052/,Action,Horror,Sci-Fi,Kevin Bacon,Elisabeth Shue,Josh Brolin,0,1,7,13,112,95000000,190213455
35,Scream 3,2000,5.6,56        ,120127,R,https://imdb.com/title/tt0134084/,Horror,Mystery,,David Arquette,Neve Campbell,Courteney Cox,0,0,6,5,116,40000000,161834276
